"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 04 07:56:09 CLST 2022","Fri Mar 04 07:56:09 CLST 2022","364","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit03Allure","airbnb.TestSuit03Allure","TC007_screenShotOfProfileBottomPage","TC007_screenShotOfProfileBottomPage","Screenshot of Profile bottom page"
"passed","Fri Mar 04 07:54:59 CLST 2022","Fri Mar 04 07:55:08 CLST 2022","8954","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit02Allure","airbnb.TestSuit02Allure","TC001_lookForDestinationWhitJSON","TC001_lookForDestinationWhitJSON","Look for destination whit JSON"
"passed","Fri Mar 04 07:55:33 CLST 2022","Fri Mar 04 07:55:37 CLST 2022","3766","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit03Allure","airbnb.TestSuit03Allure","TC001_clickOnProfile","TC001_clickOnProfile","Click on Profile"
"passed","Fri Mar 04 07:56:07 CLST 2022","Fri Mar 04 07:56:09 CLST 2022","1860","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit03Allure","airbnb.TestSuit03Allure","TC006_scrollToPartialText","TC006_scrollToPartialText","Scroll to partial text money"
"passed","Fri Mar 04 07:55:14 CLST 2022","Fri Mar 04 07:55:19 CLST 2022","4632","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit02Allure","airbnb.TestSuit02Allure","TC003_findRestaurantWhitJSON","TC003_findRestaurantWhitJSON","Find a Restaurant whit JSON"
"passed","Fri Mar 04 07:55:43 CLST 2022","Fri Mar 04 07:55:57 CLST 2022","14401","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit03Allure","airbnb.TestSuit03Allure","TC004_goToProfileAndValidateLegal","TC004_goToProfileAndValidateLegal","Go to Profile and validate Legal"
"passed","Fri Mar 04 07:55:37 CLST 2022","Fri Mar 04 07:55:38 CLST 2022","1472","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit03Allure","airbnb.TestSuit03Allure","TC002_verifyProfilePage","TC002_verifyProfilePage","Verify Profile page"
"passed","Fri Mar 04 07:55:09 CLST 2022","Fri Mar 04 07:55:14 CLST 2022","5310","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit02Allure","airbnb.TestSuit02Allure","TC002_lookForDestinationWhitExcel","TC002_lookForDestinationWhitExcel","Look for destination whit Excel"
"passed","Fri Mar 04 07:55:57 CLST 2022","Fri Mar 04 07:56:07 CLST 2022","9677","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit03Allure","airbnb.TestSuit03Allure","TC005_scrollToExactlyText","TC005_scrollToExactlyText","Scroll to exactly text Learn about hosting"
"passed","Fri Mar 04 07:55:19 CLST 2022","Fri Mar 04 07:55:27 CLST 2022","8384","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit02Allure","airbnb.TestSuit02Allure","TC004_selectValueFromResultSearchBasedOnText","TC004_selectValueFromResultSearchBasedOnText","Select a value from result search based on a text"
"passed","Fri Mar 04 07:55:38 CLST 2022","Fri Mar 04 07:55:43 CLST 2022","4319","All Test Suite Allure","D:/OneDrive/Proyectos/P_IntelliJ_IDEA/AirbnbMaven","airbnb.TestSuit03Allure","airbnb.TestSuit03Allure","TC003_swipeToGetBottomOfTheScreen","TC003_swipeToGetBottomOfTheScreen","Swipe to get bottom of the screen"
